Data;29038 - Endividamento das famílias com o Sistema Financeiro Nacional exceto crédito habitacional em relação à renda acumulada dos últimos 12 meses (RNDBF) - %
01/2012;27,82
02/2012;27,74
03/2012;27,64
04/2012;27,60
05/2012;27,64
06/2012;27,64
07/2012;27,58
08/2012;27,54
09/2012;27,29
10/2012;27,31
11/2012;27,31
12/2012;27,30
01/2013;27,34
02/2013;27,28
03/2013;26,92
04/2013;26,88
05/2013;26,80
06/2013;26,60
07/2013;26,56
08/2013;26,46
09/2013;26,24
10/2013;26,14
11/2013;26,01
12/2013;25,86
01/2014;25,75
02/2014;25,54
03/2014;25,30
04/2014;25,15
05/2014;25,07
06/2014;25,04
07/2014;24,93
08/2014;24,83
09/2014;24,81
10/2014;24,83
11/2014;24,66
12/2014;24,73
01/2015;24,82
02/2015;24,70
03/2015;24,62
04/2015;24,62
05/2015;24,55
06/2015;24,50
07/2015;24,58
08/2015;24,61
09/2015;24,68
10/2015;24,60
11/2015;24,39
12/2015;23,99
01/2016;23,92
02/2016;23,65
03/2016;23,46
04/2016;23,26
05/2016;23,17
06/2016;23,02
07/2016;22,83
08/2016;22,73
09/2016;22,52
10/2016;22,45
11/2016;22,45
12/2016;22,27
01/2017;22,17
02/2017;22,01
03/2017;21,95
04/2017;21,67
05/2017;21,59
06/2017;21,61
07/2017;21,59
08/2017;21,63
09/2017;21,53
10/2017;21,62
11/2017;21,72
12/2017;21,63
01/2018;21,79
02/2018;21,78
03/2018;21,79
04/2018;21,94
05/2018;22,13
06/2018;22,19
07/2018;22,21
08/2018;22,43
09/2018;22,40
10/2018;22,63
11/2018;23,02
12/2018;23,20
01/2019;23,50
02/2019;23,68
03/2019;23,71
04/2019;23,92
05/2019;24,18
06/2019;24,48
07/2019;24,67
08/2019;25,04
09/2019;25,14
10/2019;25,30
11/2019;25,50
12/2019;25,52
01/2020;25,65
02/2020;25,62
03/2020;25,62
04/2020;25,00
05/2020;24,29
06/2020;23,80
07/2020;23,72
08/2020;23,72
09/2020;24,01
10/2020;24,48
11/2020;25,12
12/2020;25,61
01/2021;25,80
02/2021;25,90
03/2021;25,98
04/2021;26,27
05/2021;26,90
06/2021;27,39
07/2021;27,83
08/2021;28,72
09/2021;29,46
10/2021;29,99
11/2021;30,59
12/2021;31,01
01/2022;31,17
02/2022;31,05
03/2022;31,09
04/2022;31,30
05/2022;31,25
06/2022;31,35
07/2022;31,48
08/2022;31,38
09/2022;31,32
10/2022;31,54
11/2022;31,39
12/2022;31,07
01/2023;31,09
02/2023;30,86
03/2023;30,74
04/2023;30,66
05/2023;30,87
06/2023;30,46
07/2023;30,13
08/2023;30,28
09/2023;30,11
10/2023;30,16
11/2023;30,16
12/2023;29,84
01/2024;30,06
02/2024;30,00
03/2024;29,95
04/2024;29,93
05/2024;29,81
06/2024;29,85
07/2024;29,96
08/2024;30,02
09/2024;30,02
10/2024;30,09
11/2024;30,27
12/2024;30,32
01/2025;30,54
02/2025;30,39
03/2025;30,41
