Data;ICOM Sem ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416223)
01/2012;97,100
02/2012;102,000
03/2012;105,800
04/2012;103,500
05/2012;100,700
06/2012;103,200
07/2012;103,600
08/2012;104,400
09/2012;110,300
10/2012;108,300
11/2012;109,100
12/2012;104,900
01/2013;97,500
02/2013;100,200
03/2013;102,400
04/2013;102,500
05/2013;101,900
06/2013;101,500
07/2013;99,500
08/2013;102,700
09/2013;104,100
10/2013;106,600
11/2013;105,900
12/2013;102,400
01/2014;96,400
02/2014;96,700
03/2014;99,900
04/2014;96,300
05/2014;90,800
06/2014;90,500
07/2014;94,400
08/2014;95,300
09/2014;92,500
10/2014;93,600
11/2014;91,300
12/2014;89,600
01/2015;85,100
02/2015;77,700
03/2015;73,200
04/2015;72,300
05/2015;76,000
06/2015;72,800
07/2015;70,800
08/2015;71,200
09/2015;71,000
10/2015;68,800
11/2015;72,800
12/2015;67,600
01/2016;70,700
02/2016;71,000
03/2016;70,200
04/2016;68,900
05/2016;73,000
06/2016;74,700
07/2016;77,100
08/2016;84,000
09/2016;84,200
10/2016;84,200
11/2016;82,900
12/2016;78,800
01/2017;80,200
02/2017;83,400
03/2017;85,200
04/2017;86,600
05/2017;87,600
06/2017;85,100
07/2017;84,900
08/2017;86,500
09/2017;93,100
10/2017;96,200
11/2017;96,500
12/2017;94,000
01/2018;94,300
02/2018;95,100
03/2018;97,000
04/2018;94,600
05/2018;92,200
06/2018;88,100
07/2018;88,700
08/2018;91,600
09/2018;92,200
10/2018;96,300
11/2018;103,100
12/2018;103,600
01/2019;103,600
02/2019;101,100
03/2019;98,800
04/2019;96,700
05/2019;91,200
06/2019;90,400
07/2019;93,200
08/2019;97,600
09/2019;97,900
10/2019;100,200
11/2019;101,500
12/2019;98,400
01/2020;99,600
02/2020;101,100
03/2020;89,000
04/2020;64,200
05/2020;68,100
06/2020;81,100
07/2020;83,600
08/2020;96,300
09/2020;99,500
10/2020;97,800
11/2020;98,000
12/2020;94,400
01/2021;92,800
02/2021;93,000
03/2021;75,100
04/2021;85,000
05/2021;91,900
06/2021;90,500
07/2021;96,400
08/2021;100,300
09/2021;94,600
10/2021;96,800
11/2021;93,000
12/2021;88,100
01/2022;87,300
02/2022;89,500
03/2022;88,300
04/2022;86,300
05/2022;90,900
06/2022;92,300
07/2022;91,100
08/2022;98,800
09/2022;101,900
10/2022;100,100
11/2022;92,100
12/2022;89,800
01/2023;85,500
02/2023;88,100
03/2023;88,400
04/2023;84,200
05/2023;85,800
06/2023;89,300
07/2023;88,300
08/2023;94,100
09/2023;93,000
10/2023;92,000
11/2023;91,400
12/2023;89,100
01/2024;88,800
02/2024;89,600
03/2024;91,200
04/2024;90,800
05/2024;89,800
06/2024;89,900
07/2024;90,900
08/2024;93,100
09/2024;94,400
10/2024;93,100
11/2024;95,100
12/2024;92,000
01/2025;87,900
02/2025;86,400
03/2025;84,500
