"Tabela 6903 - Índice de Preços ao Produtor, por tipo de índice, indústria geral, indústrias extrativas e indústrias de transformação e atividades (dezembro de 2018 = 100)"
"Variável - IPP - Número-índice (dezembro de 2018 = 100)"
"Nível";"Cód.";"";"Mês";"Indústria geral, indústrias extrativas e indústrias de transformação e atividades (CNAE 2.0)";""
"BR";"1";"Brasil";"janeiro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"março 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"abril 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"maio 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"junho 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"julho 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"agosto 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"setembro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"outubro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"novembro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"dezembro 2012";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"janeiro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"março 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"abril 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"maio 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"junho 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"julho 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"agosto 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"setembro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"outubro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"novembro 2013";"Indústria Geral";"-";"Número-índice"
"BR";"1";"Brasil";"dezembro 2013";"Indústria Geral";"77,06915";"Número-índice"
"BR";"1";"Brasil";"janeiro 2014";"Indústria Geral";"78,23072";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2014";"Indústria Geral";"78,48320";"Número-índice"
"BR";"1";"Brasil";"março 2014";"Indústria Geral";"78,37993";"Número-índice"
"BR";"1";"Brasil";"abril 2014";"Indústria Geral";"77,61821";"Número-índice"
"BR";"1";"Brasil";"maio 2014";"Indústria Geral";"77,50933";"Número-índice"
"BR";"1";"Brasil";"junho 2014";"Indústria Geral";"77,27543";"Número-índice"
"BR";"1";"Brasil";"julho 2014";"Indústria Geral";"76,83634";"Número-índice"
"BR";"1";"Brasil";"agosto 2014";"Indústria Geral";"77,17497";"Número-índice"
"BR";"1";"Brasil";"setembro 2014";"Indústria Geral";"77,93482";"Número-índice"
"BR";"1";"Brasil";"outubro 2014";"Indústria Geral";"78,24374";"Número-índice"
"BR";"1";"Brasil";"novembro 2014";"Indústria Geral";"78,97530";"Número-índice"
"BR";"1";"Brasil";"dezembro 2014";"Indústria Geral";"79,12182";"Número-índice"
"BR";"1";"Brasil";"janeiro 2015";"Indústria Geral";"78,80597";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2015";"Indústria Geral";"79,36972";"Número-índice"
"BR";"1";"Brasil";"março 2015";"Indústria Geral";"80,84873";"Número-índice"
"BR";"1";"Brasil";"abril 2015";"Indústria Geral";"81,02908";"Número-índice"
"BR";"1";"Brasil";"maio 2015";"Indústria Geral";"81,02719";"Número-índice"
"BR";"1";"Brasil";"junho 2015";"Indústria Geral";"81,40850";"Número-índice"
"BR";"1";"Brasil";"julho 2015";"Indústria Geral";"81,99339";"Número-índice"
"BR";"1";"Brasil";"agosto 2015";"Indústria Geral";"82,78179";"Número-índice"
"BR";"1";"Brasil";"setembro 2015";"Indústria Geral";"85,25726";"Número-índice"
"BR";"1";"Brasil";"outubro 2015";"Indústria Geral";"86,76240";"Número-índice"
"BR";"1";"Brasil";"novembro 2015";"Indústria Geral";"86,39871";"Número-índice"
"BR";"1";"Brasil";"dezembro 2015";"Indústria Geral";"86,09497";"Número-índice"
"BR";"1";"Brasil";"janeiro 2016";"Indústria Geral";"86,67784";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2016";"Indústria Geral";"86,13123";"Número-índice"
"BR";"1";"Brasil";"março 2016";"Indústria Geral";"85,10142";"Número-índice"
"BR";"1";"Brasil";"abril 2016";"Indústria Geral";"84,81096";"Número-índice"
"BR";"1";"Brasil";"maio 2016";"Indústria Geral";"85,57713";"Número-índice"
"BR";"1";"Brasil";"junho 2016";"Indústria Geral";"86,00408";"Número-índice"
"BR";"1";"Brasil";"julho 2016";"Indústria Geral";"85,50970";"Número-índice"
"BR";"1";"Brasil";"agosto 2016";"Indústria Geral";"85,29311";"Número-índice"
"BR";"1";"Brasil";"setembro 2016";"Indústria Geral";"85,69719";"Número-índice"
"BR";"1";"Brasil";"outubro 2016";"Indústria Geral";"85,77238";"Número-índice"
"BR";"1";"Brasil";"novembro 2016";"Indústria Geral";"86,45810";"Número-índice"
"BR";"1";"Brasil";"dezembro 2016";"Indústria Geral";"87,57054";"Número-índice"
"BR";"1";"Brasil";"janeiro 2017";"Indústria Geral";"87,83659";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2017";"Indústria Geral";"87,44468";"Número-índice"
"BR";"1";"Brasil";"março 2017";"Indústria Geral";"87,50044";"Número-índice"
"BR";"1";"Brasil";"abril 2017";"Indústria Geral";"87,40601";"Número-índice"
"BR";"1";"Brasil";"maio 2017";"Indústria Geral";"87,49746";"Número-índice"
"BR";"1";"Brasil";"junho 2017";"Indústria Geral";"87,31953";"Número-índice"
"BR";"1";"Brasil";"julho 2017";"Indústria Geral";"86,43944";"Número-índice"
"BR";"1";"Brasil";"agosto 2017";"Indústria Geral";"86,69353";"Número-índice"
"BR";"1";"Brasil";"setembro 2017";"Indústria Geral";"87,98025";"Número-índice"
"BR";"1";"Brasil";"outubro 2017";"Indústria Geral";"89,55979";"Número-índice"
"BR";"1";"Brasil";"novembro 2017";"Indústria Geral";"90,81804";"Número-índice"
"BR";"1";"Brasil";"dezembro 2017";"Indústria Geral";"91,20386";"Número-índice"
"BR";"1";"Brasil";"janeiro 2018";"Indústria Geral";"91,63578";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2018";"Indústria Geral";"91,98513";"Número-índice"
"BR";"1";"Brasil";"março 2018";"Indústria Geral";"92,97477";"Número-índice"
