"Nível";"Cód.";"";"Trimestre Móvel";""
"BR";"1";"Brasil";"jan-fev-mar 2012";"2999";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2012";"3010";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2012";"3002";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2012";"3009";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2012";"3024";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2012";"3034";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2012";"3029";"Reais"
"BR";"1";"Brasil";"ago-set-out 2012";"3025";"Reais"
"BR";"1";"Brasil";"set-out-nov 2012";"3022";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2012";"3015";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2013";"3027";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2013";"3045";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2013";"3063";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2013";"3070";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2013";"3072";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2013";"3097";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2013";"3117";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2013";"3138";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2013";"3138";"Reais"
"BR";"1";"Brasil";"ago-set-out 2013";"3148";"Reais"
"BR";"1";"Brasil";"set-out-nov 2013";"3135";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2013";"3111";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2014";"3108";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2014";"3138";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2014";"3174";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2014";"3171";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2014";"3166";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2014";"3149";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2014";"3143";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2014";"3165";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2014";"3176";"Reais"
"BR";"1";"Brasil";"ago-set-out 2014";"3189";"Reais"
"BR";"1";"Brasil";"set-out-nov 2014";"3167";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2014";"3168";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2015";"3172";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2015";"3167";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2015";"3168";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2015";"3161";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2015";"3147";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2015";"3156";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2015";"3134";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2015";"3119";"Reais"
"BR";"1";"Brasil";"jul-ago-set 2015";"3118";"Reais"
"BR";"1";"Brasil";"ago-set-out 2015";"3106";"Reais"
"BR";"1";"Brasil";"set-out-nov 2015";"3083";"Reais"
"BR";"1";"Brasil";"out-nov-dez 2015";"3067";"Reais"
"BR";"1";"Brasil";"nov-dez-jan 2016";"3077";"Reais"
"BR";"1";"Brasil";"dez-jan-fev 2016";"3058";"Reais"
"BR";"1";"Brasil";"jan-fev-mar 2016";"3072";"Reais"
"BR";"1";"Brasil";"fev-mar-abr 2016";"3057";"Reais"
"BR";"1";"Brasil";"mar-abr-mai 2016";"3067";"Reais"
"BR";"1";"Brasil";"abr-mai-jun 2016";"3035";"Reais"
"BR";"1";"Brasil";"mai-jun-jul 2016";"3037";"Reais"
"BR";"1";"Brasil";"jun-jul-ago 2016";"3064";"Reais"
