"Tabela 8883 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado, por atividades (2022 = 100)"
"Variável - PMC - Número-índice (2022=100) (Número-índice)"
"Nível";"Cód.";"";"Atividades";"Mês";"Tipos de índice"
"Nível";"Cód.";"";"Atividades";"Mês";"Índice de receita nominal de vendas no comércio varejista ampliado";"Índice de volume de vendas no comércio varejista ampliado"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2004";"28,87196";"92,67196"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2004";"27,04750";"86,69313"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2004";"29,60174";"98,44463"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2004";"28,37023";"96,07372"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2004";"28,78073";"96,79530"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2004";"29,92102";"96,38297"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2004";"32,38403";"102,05255"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2004";"32,24719";"97,72305"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2004";"31,83669";"97,00147"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2004";"33,25064";"99,26930"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2004";"33,11381";"95,04288"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2004";"36,58027";"100,30014"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2005";"33,29625";"91,64113"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2005";"29,19123";"81,33279"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2005";"32,70330";"89,88871"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2005";"31,69986";"86,59004"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2005";"32,33841";"89,99180"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2005";"31,33497";"90,30105"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2005";"32,38403";"91,74421"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2005";"32,61208";"91,64113"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2005";"32,74892";"89,78563"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2005";"34,61898";"90,40413"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2005";"33,84359";"86,89930"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2005";"36,35221";"92,98121"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2006";"33,66114";"83,80679"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2006";"30,92446";"75,86937"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2006";"34,71020";"81,43588"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2006";"32,88575";"77,20946"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2006";"33,29625";"79,47729"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2006";"31,92791";"78,85879"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2006";"33,70675";"82,46671"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2006";"34,89265";"85,86846"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2006";"34,02603";"83,80679"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2006";"34,48215";"85,24996"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2006";"33,98042";"84,21913"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2006";"35,62243";"88,75480"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2007";"34,43653";"85,86846"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2007";"31,69986";"79,78654"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2007";"34,84704";"87,10546"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2007";"33,25064";"82,46671"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2007";"33,98042";"84,01296"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2007";"33,29625";"83,49754"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2007";"34,16287";"86,38388"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2007";"34,98387";"89,37330"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2007";"33,70675";"86,89930"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2007";"35,16632";"90,19796"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2007";"35,21193";"89,68255"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2007";"36,62588";"91,64113"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2008";"35,30315";"88,54863"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2008";"33,56992";"85,66229"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2008";"36,26099";"91,74421"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2008";"35,21193";"89,37330"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2008";"37,49249";"94,83672"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2008";"37,12760";"93,90897"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2008";"39,63622";"99,57855"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2008";"39,81867";"99,88780"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2008";"39,49939";"98,23847"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2008";"40,13795";"100,09397"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2008";"37,85738";"94,32130"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2008";"39,08889";"97,41380"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2009";"37,03638";"91,95038"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2009";"34,84704";"86,28079"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2009";"38,49594";"95,86755"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2009";"36,89954";"92,56888"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2009";"37,99422";"96,58913"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2009";"36,71710";"92,77505"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2009";"38,22227";"95,66138"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2009";"38,22227";"95,45522"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2009";"37,85738";"94,52747"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2009";"41,14140";"101,33097"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2009";"39,81867";"97,20763"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2009";"42,23607";"102,77414"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2010";"40,32039";"96,27988"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2010";"38,26788";"90,50721"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2010";"42,09923";"102,25872"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2010";"39,68183";"97,31072"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2010";"41,64312";"102,36180"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2010";"39,54500";"98,23847"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2010";"41,46068";"103,08339"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2010";"42,37290";"104,32039"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2010";"42,32729";"104,42347"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2010";"43,92369";"106,58822"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2010";"43,01146";"103,28955"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2010";"45,74814";"109,37147"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2011";"43,19390";"102,36180"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2011";"41,59751";"98,03230"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2011";"45,65692";"104,93889"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2011";"45,61130";"98,75388"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2011";"46,02181";"100,09397"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2011";"43,74124";"99,47547"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2011";"45,93058";"103,80497"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2011";"46,93403";"106,07281"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2011";"45,93058";"103,08339"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2011";"47,20770";"105,96972"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2011";"46,38670";"104,42347"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2011";"49,07776";"109,78381"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2012";"44,97275";"101,53714"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2012";"44,92713";"102,15564"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2012";"48,80410";"110,19614"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2012";"46,38670";"104,83580"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2012";"47,25331";"107,30981"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2012";"46,34108";"106,27897"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2012";"48,39359";"111,84547"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2012";"50,44610";"116,58731"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2012";"49,62510";"114,73181"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2012";"51,49516";"118,13356"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2012";"49,80754";"112,25781"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2012";"51,63200";"115,96881"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2013";"49,57949";"110,81464"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2013";"46,93403";"101,02172"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2013";"53,13717";"114,11331"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2013";"52,72667";"113,59789"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2013";"53,86695";"116,99964"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2013";"52,17933";"114,93798"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2013";"54,50551";"120,50448"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2013";"55,60018";"122,87540"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2013";"53,91256";"119,57673"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2013";"56,92291";"125,96790"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2013";"55,87385";"122,25690"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2013";"58,38247";"122,77231"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2014";"56,74046";"118,44281"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2014";"55,18968";"115,14414"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2014";"57,47024";"118,85515"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2014";"56,19313";"115,45339"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2014";"57,88074";"119,47365"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2014";"53,63889";"111,84547"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2014";"57,01413";"120,09215"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2014";"58,97542";"123,39081"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2014";"58,61053";"123,08156"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2014";"61,43843";"128,75115"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2014";"59,70520";"122,35998"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2014";"61,57526";"125,24632"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2015";"58,15441";"118,23664"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2015";"55,00723";"103,59880"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2015";"62,53310";"116,38114"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2015";"60,07009";"113,08248"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2015";"60,84548";"114,21639"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2015";"58,97542";"111,02081"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2015";"60,84548";"114,93798"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2015";"61,34720";"114,62873"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2015";"60,34375";"112,67014"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2015";"64,31194";"114,11331"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2015";"62,85238";"107,61906"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2015";"66,91178";"112,97939"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2016";"61,48404";"101,94947"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2016";"60,84548";"99,57855"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2016";"64,63122";"104,62964"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2016";"62,03137";"101,12480"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2016";"61,43843";"101,84639"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2016";"60,20692";"101,02172"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2016";"61,39281";"103,49572"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2016";"61,39281";"103,59880"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2016";"60,98231";"102,87722"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2016";"61,71209";"102,67105"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2016";"59,65959";"99,16622"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2016";"64,99611";"106,79439"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2017";"59,15324";"95,87485"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2017";"55,92382";"91,07150"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2017";"61,32459";"102,29877"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2017";"57,05488";"96,83515"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2017";"59,82261";"101,47655"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2017";"58,20415";"101,15940"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2017";"59,36368";"102,52764"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2017";"62,42347";"100,59766"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2017";"62,19895";"98,70973"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2017";"64,34078";"101,69714"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2017";"63,01842";"96,71148"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2017";"66,23929";"99,30964"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2018";"62,63499";"91,91498"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2018";"58,54908";"85,20941"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2018";"66,76925";"97,32993"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2018";"65,75286";"95,82416"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2018";"65,75372";"93,54827"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2018";"65,94403";"89,44797"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2018";"67,62478";"93,55648"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2018";"69,84768";"98,68678"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2018";"69,46210";"94,25392"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2018";"72,79377";"96,35285"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2018";"69,22081";"93,96969"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2018";"70,06107";"99,44111"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2019";"64,13308";"93,18898"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2019";"60,26137";"88,30014"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2019";"65,74715";"93,12947"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2019";"67,20087";"92,98290"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2019";"70,10693";"95,11206"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2019";"67,15793";"93,36996"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2019";"68,64014";"98,25041"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2019";"66,84085";"95,93304"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2019";"65,63110";"93,75714"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2019";"70,28194";"99,18311"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2019";"67,59486";"94,89898"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2019";"72,77457";"98,49239"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2020";"69,12668";"92,62738"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"fevereiro 2020";"65,71512";"88,62771"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"março 2020";"61,03042";"83,92389"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"abril 2020";"45,40717";"69,45747"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"maio 2020";"46,51646";"74,58900"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"junho 2020";"50,69625";"78,25883"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"julho 2020";"58,90652";"87,80971"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"agosto 2020";"60,20051";"87,25485"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"setembro 2020";"62,41312";"88,74216"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"outubro 2020";"66,81056";"94,19636"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"novembro 2020";"64,23849";"88,67841"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"dezembro 2020";"67,86497";"92,13555"
"BR";"1";"Brasil";"Combustíveis e lubrificantes";"janeiro 2021";"64,14443";"85,40882"
